date,co,no,no2,o3,so2,pm2_5,pm10,nh3,Net_AQI
03-12-2020 14:00,0.539789442,0.414276584,0.477297629,0,0.395854363,0.524471484,0.546560879,0.478889391,242.09
03-12-2020 15:00,0.596037117,0.432152273,0.44725424,0,0.339413137,0.593134307,0.62041783,0.457761407,239.3265366
03-12-2020 16:00,0.652285271,0.435707438,0.429219442,0,0.269710049,0.665493497,0.689865259,0.411960941,255.945778
03-12-2020 17:00,0.682966039,0.417851722,0.411206557,0,0.236503185,0.717684789,0.741812713,0.369704973,265.0108058
03-12-2020 18:00,0.616491122,0.335723416,0.366130517,0,0.188381078,0.673900228,0.704761466,0.25353581,245.3699357
03-12-2020 19:00,0.483541288,0.221438843,0.306065653,0,0.118660587,0.563905298,0.594006732,0.132049901,206.0881955
03-12-2020 20:00,0.365931599,0.130362707,0.248981023,0,0.075516029,0.482084114,0.50195922,0.070438197,174.0593762
03-12-2020 21:00,0.291786849,0.071422865,0.209931192,1.25E-05,0.05558843,0.434974591,0.44192423,0.05368871,154.8910751
03-12-2020 22:00,0.25343577,0.044199888,0.185892098,4.99E-05,0.050610881,0.416162617,0.411707232,0.05368871,144.976347
03-12-2020 23:00,0.243209007,0.04196293,0.16936933,4.99E-05,0.048957499,0.415661514,0.40456094,0.054592209,142.3324691
04-12-2020 00:00,0.240652077,0.051789566,0.155848709,2.50E-05,0.048122107,0.415596666,0.400678309,0.055912708,141.6714377
04-12-2020 01:00,0.258549152,0.091076136,0.145330236,0,0.056423823,0.425406482,0.410131672,0.06602495,146.298286
04-12-2020 02:00,0.340364692,0.21606615,0.152846562,1.25E-05,0.080493578,0.4770613,0.465424634,0.082739688,167.4496812
